Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
Forte FE,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45351,3257.3529411764707,34.0,0.0,0.0,41.3127,0.0,0.0,0.0,30.1512,39.9,61.6,0.0,60000.0,5124891.305465197,6693091.305465197,43653869.07283751,50346960.37830271
Forte,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45352,3257.3529411764707,32.0,0.0,0.0,38.9491,0.0,0.0,0.0,28.3675,37.2297,57.5754,0.0,60000.0,5124891.305465197,6693091.305465197,46338736.691726595,53031827.997191794
Ghibli Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45353,4916.666666666667,16.0,0.0,0.0,19.7979,0.0,0.0,0.0,13.4906,16.5647,27.3566,0.0,60000.0,7735539.4723575525,9303739.472357552,93410139.32214853,102713878.79450609
Ghibli GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45354,4916.666666666667,20.0,0.0,0.0,24.9859,0.0,0.0,0.0,17.5439,21.9264,35.1464,0.0,60000.0,7735539.4723575525,9303739.472357552,73217174.28478992,82520913.75714748
Ghibli Modena RWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45355,4916.666666666667,20.0,0.0,0.0,24.9859,0.0,0.0,0.0,17.5439,21.9264,35.1464,0.0,60000.0,7735539.4723575525,9303739.472357552,73217174.28478992,82520913.75714748
K5,Kia,2023,ICE,4.0,1.6,Automatic (S8),45356,3781.25,31.0,0.0,0.0,37.0396,0.0,0.0,0.0,26.7305,34.8175,54.3744,0.0,60000.0,5949154.297597013,7517354.297597013,48894299.641317315,56411653.93891433
K5 AWD,Kia,2023,ICE,4.0,1.6,Automatic (S8),45357,3781.25,28.0,0.0,0.0,33.2803,0.0,0.0,0.0,25.2729,32.7,48.2,0.0,60000.0,5949154.297597013,7517354.297597013,53381460.43885208,60898814.73644909
K5,Kia,2023,ICE,4.0,2.5,Automatic (AM-S8),45358,3781.25,27.0,0.0,0.0,32.1794,0.0,0.0,0.0,23.7569,29.6835,46.0738,0.0,60000.0,5949154.297597013,7517354.297597013,55802763.54362694,63320117.841223955
Quattroporte Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45359,5000.0,16.0,0.0,0.0,19.7979,0.0,0.0,0.0,13.4906,16.5647,27.3566,0.0,60000.0,7866650.310872085,9434850.310872085,93410139.32214853,102844989.63302061
Quattroporte Modena RWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45360,5000.0,19.0,0.0,0.0,25.1847,0.0,0.0,0.0,16.2998,20.2604,33.7603,0.0,60000.0,7866650.310872085,9434850.310872085,74774048.27934021,84208898.59021229
Quattroporte GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45361,5000.0,19.0,0.0,0.0,25.1847,0.0,0.0,0.0,16.2998,20.2604,33.7603,0.0,60000.0,7866650.310872085,9434850.310872085,74774048.27934021,84208898.59021229
HR-V AWD,Honda,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45362,3562.5,27.0,0.0,0.0,30.1809,0.0,0.0,0.0,25.0341,32.3557,43.2328,0.0,60000.0,5604988.346496362,7173188.346496362,56853009.0249935,64026197.37148987
HR-V FWD,Honda,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45363,3562.5,28.0,0.0,0.0,31.7913,0.0,0.0,0.0,26.2388,34.1,45.8,0.0,60000.0,5604988.346496362,7173188.346496362,54081779.83062319,61254968.17711955
XT5 Hearse FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45364,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2,0.0,60000.0,7364058.763233037,8932258.763233036,74438510.11148156,83370768.8747146
XT5 Limo FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45365,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2,0.0,60000.0,7364058.763233037,8932258.763233036,74438510.11148156,83370768.8747146
XT5 Hearse AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45366,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2,0.0,60000.0,7364058.763233037,8932258.763233036,74438510.11148156,83370768.8747146
XT5 Limo AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45367,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2,0.0,60000.0,7364058.763233037,8932258.763233036,74438510.11148156,83370768.8747146
Envision FWD,Buick,2023,ICE,4.0,2.0,Automatic (S9),45368,4125.0,26.0,0.0,0.0,30.7184,0.0,0.0,0.0,23.4751,30.1267,44.0865,0.0,60000.0,6489986.5064694695,8058186.5064694695,57693466.76662205,65751653.273091525
XT4 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45369,4125.0,26.0,0.0,0.0,30.0,0.0,0.0,0.0,23.4751,30.1267,44.0865,0.0,60000.0,6489986.5064694695,8058186.5064694695,58535767.06444901,66593953.570918486
XT5 FWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45370,4680.555555555556,21.0,0.0,0.0,25.7372,0.0,0.0,0.0,18.5604,23.3012,36.2978,0.0,60000.0,7364058.763233037,8932258.763233036,70384989.27475291,79317248.03798595
XT6 FWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45371,4875.0,21.0,0.0,0.0,25.7372,0.0,0.0,0.0,18.5604,23.3012,36.2978,0.0,60000.0,7669984.053100284,9238184.053100284,70384989.27475291,79623173.3278532
XT5 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45372,4680.555555555556,24.0,0.0,0.0,29.2741,0.0,0.0,0.0,22.0,29.0,41.8,0.0,60000.0,7364058.763233037,8932258.763233036,60928999.9463477,69861258.70958073
XT6 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45373,4875.0,23.0,0.0,0.0,27.4208,0.0,0.0,0.0,21.2505,27.0,38.9,0.0,60000.0,7669984.053100284,9238184.053100284,64282965.15625504,73521149.20935532
Blazer FWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45374,4375.0,22.0,0.0,0.0,26.8407,0.0,0.0,0.0,19.1406,24.0915,38.0,0.0,60000.0,6883319.022013075,8451519.022013074,67771362.98426718,76222882.00628024
Kona FWD,Hyundai,2023,ICE,4.0,1.6,Automatic (AM-S7),45375,3677.777777777778,32.0,0.0,0.0,34.6314,0.0,0.0,0.0,29.42,38.8,50.4,0.0,60000.0,5786358.339774801,7354558.339774801,49067297.027498074,56421855.367272876
Envision AWD,Buick,2023,ICE,4.0,2.0,Automatic (S9),45376,4125.0,25.0,0.0,0.0,29.0,0.0,0.0,0.0,22.48,28.7203,42.2001,0.0,60000.0,6489986.5064694695,8058186.5064694695,60776490.44732601,68834676.95379548
XT5 AWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45377,4680.555555555556,21.0,0.0,0.0,25.365,0.0,0.0,0.0,18.1842,22.7909,35.7267,0.0,60000.0,7364058.763233037,8932258.763233036,71574309.51257904,80506568.27581207
XT6 AWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45378,4875.0,21.0,0.0,0.0,24.8246,0.0,0.0,0.0,17.9691,22.5,34.9,0.0,60000.0,7669984.053100284,9238184.053100284,72871542.17241557,82109726.22551586
XT4 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45379,4125.0,24.0,0.0,0.0,29.0,0.0,0.0,0.0,22.48,28.7203,42.2001,0.0,60000.0,6489986.5064694695,8058186.5064694695,60776490.44732601,68834676.95379548
XT5 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45380,4680.555555555556,23.0,0.0,0.0,27.0,0.0,0.0,0.0,21.0,27.6381,39.304,0.0,60000.0,7364058.763233037,8932258.763233036,65193415.637860075,74125674.40109311
XT6 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45381,4875.0,23.0,0.0,0.0,26.0,0.0,0.0,0.0,21.0,27.6381,39.304,0.0,60000.0,7669984.053100284,9238184.053100284,66703157.89473684,75941341.94783713
Blazer AWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45382,4375.0,21.0,0.0,0.0,25.6735,0.0,0.0,0.0,18.7066,23.5,36.2,0.0,60000.0,6883319.022013075,8451519.022013074,70288944.7096832,78740463.73169626
Traverse FWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45384,4750.0,21.0,0.0,0.0,27.0988,0.0,0.0,0.0,18.117,22.7,38.4,0.0,60000.0,7473317.795328483,9041517.795328483,68708014.35920298,77749532.15453146
Acadia FWD,GMC,2023,ICE,6.0,3.6,Automatic 9-spd,45385,4541.666666666666,22.0,0.0,0.0,26.8407,0.0,0.0,0.0,19.1406,24.0915,38.0,0.0,60000.0,7145540.699042143,8713740.699042143,67771362.98426718,76485103.68330932
Traverse AWD,Chevrolet,2023,ICE,6.0,3.6,Automatic 9-spd,45388,4750.0,20.0,0.0,0.0,24.9515,0.0,0.0,0.0,17.0,21.9953,35.0939,0.0,60000.0,7473317.795328483,9041517.795328483,74120428.15051004,83161945.94583853
Acadia AWD,GMC,2023,ICE,6.0,3.6,Automatic 9-spd,45389,4541.666666666666,21.0,0.0,0.0,25.6735,0.0,0.0,0.0,18.7066,23.5,36.2,0.0,60000.0,7145540.699042143,8713740.699042143,70288944.7096832,79002685.40872534
Levante Modena,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45391,5250.0,18.0,0.0,0.0,21.626,0.0,0.0,0.0,15.5613,19.28,30.07,0.0,60000.0,8259982.826415689,9828182.82641569,83833922.89258255,93662105.71899824
Levante GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45392,5250.0,18.0,0.0,0.0,21.626,0.0,0.0,0.0,15.5613,19.28,30.07,0.0,60000.0,8259982.826415689,9828182.82641569,83833922.89258255,93662105.71899824
Levante Modena V8,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45393,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36,0.0,60000.0,8259982.826415689,9828182.82641569,94131460.21115702,103959643.03757271
Levante Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45394,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36,0.0,60000.0,8259982.826415689,9828182.82641569,94131460.21115702,103959643.03757271
Z,Nissan,2023,ICE,6.0,3.0,Manual 6-spd,45399,3916.666666666667,20.0,0.0,0.0,24.134,0.0,0.0,0.0,18.1909,22.8,33.8482,0.0,60000.0,6162209.4101831345,7730409.4101831345,73822421.24214308,81552830.65232621
Z,Nissan,2023,ICE,6.0,3.0,Automatic (S9),45400,3916.666666666667,22.0,0.0,0.0,28.0463,0.0,0.0,0.0,19.0,25.1237,39.8745,0.0,60000.0,6162209.4101831345,7730409.4101831345,66075882.15703012,73806291.56721325
A3,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45401,3687.5,32.0,0.0,0.0,37.8418,0.0,0.0,0.0,28.4953,36.9,53.4,0.0,60000.0,5175297.069091964,6743497.069091964,47098522.03934042,53842019.10843238
A3 quattro,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45402,3687.5,30.0,0.0,0.0,34.694,0.0,0.0,0.0,26.9361,33.8,49.2,0.0,60000.0,5175297.069091964,6743497.069091964,50770848.71315833,57514345.78225029
Camaro,Chevrolet,2023,ICE,6.0,3.6,Automatic (S10),45403,4130.952380952381,22.0,0.0,0.0,28.7561,0.0,0.0,0.0,18.3273,22.9849,40.9857,0.0,60000.0,6499351.566363365,8067551.566363365,65835132.0733703,73902683.63973367
Legacy AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45404,3937.5,30.0,0.0,0.0,35.113,0.0,0.0,0.0,26.8517,34.9948,51.1893,0.0,60000.0,6194987.119811767,7763187.119811767,50459597.36477443,58222784.484586194
Legacy AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45405,3937.5,26.0,0.0,0.0,31.208,0.0,0.0,0.0,23.1504,29.6664,44.8668,0.0,60000.0,6194987.119811767,7763187.119811767,57435842.402023345,65199029.52183511
Blazer FWD,Chevrolet,2023,ICE,4.0,2.0,Automatic 9-spd,45406,4375.0,25.0,0.0,0.0,29.3214,0.0,0.0,0.0,22.0,29.1772,41.8745,0.0,60000.0,6883319.022013075,8451519.022013074,60868098.50012121,69319617.52213429
Blazer AWD,Chevrolet,2023,ICE,4.0,2.0,Automatic 9-spd,45407,4375.0,24.0,0.0,0.0,27.0,0.0,0.0,0.0,22.1096,28.2,40.0,0.0,60000.0,6883319.022013075,8451519.022013074,63880783.82794366,72332302.84995674
Outback AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45408,4166.666666666667,28.0,0.0,0.0,32.0676,0.0,0.0,0.0,25.6471,33.2409,46.2435,0.0,60000.0,6555541.92572674,8123741.92572674,54293633.555672646,62417375.48139939
Outback AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45409,4166.666666666667,25.0,0.0,0.0,29.0199,0.0,0.0,0.0,22.1096,28.2,41.4,0.0,60000.0,6555541.92572674,8123741.92572674,61141790.71499268,69265532.64071941
Outback Wilderness AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45410,4166.666666666667,23.0,0.0,0.0,26.2583,0.0,0.0,0.0,21.3942,27.2,37.1,0.0,60000.0,6555541.92572674,8123741.92572674,65817859.19124468,73941601.11697142
Acadia FWD,GMC,2023,ICE,4.0,2.0,Automatic 9-spd,45411,4541.666666666666,25.0,0.0,0.0,29.3214,0.0,0.0,0.0,22.0,29.1772,41.8745,0.0,60000.0,7145540.699042143,8713740.699042143,60868098.50012121,69581839.19916336
Acadia AWD,GMC,2023,ICE,4.0,2.0,Automatic 9-spd,45412,4541.666666666666,24.0,0.0,0.0,27.0,0.0,0.0,0.0,22.1096,28.2,40.0,0.0,60000.0,7145540.699042143,8713740.699042143,63880783.82794366,72594524.52698581
Ghibli Modena AWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45417,4916.666666666667,20.0,0.0,0.0,24.739,0.0,0.0,0.0,16.7388,20.8462,32.3086,0.0,60000.0,7735539.4723575525,9303739.472357552,74942369.3085405,84246108.78089805
Sonata,Hyundai,2023,ICE,4.0,1.6,Automatic (S8),45418,3678.819444444445,31.0,0.0,0.0,36.6221,0.0,0.0,0.0,26.8394,34.9769,53.6804,0.0,60000.0,5787997.225256233,7356197.225256233,49168393.99023304,56524591.215489276
Sonata,Hyundai,2023,ICE,4.0,2.5,Automatic (S8),45419,3678.819444444445,31.0,0.0,0.0,36.8145,0.0,0.0,0.0,26.8552,35.0,54.0,0.0,60000.0,5787997.225256233,7356197.225256233,48996661.750608474,56352858.97586471
Quattroporte Modena AWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45421,5000.0,20.0,0.0,0.0,24.739,0.0,0.0,0.0,16.7388,20.8462,32.3086,0.0,60000.0,7866650.310872085,9434850.310872085,74942369.3085405,84377219.61941257
Taos 4motion,Volkswagen,2023,ICE,4.0,1.5,Automatic (AM-S7),45422,3625.0,28.0,0.0,0.0,31.7913,0.0,0.0,0.0,24.8563,32.1,45.8,0.0,60000.0,5703321.475382263,7271521.475382263,55255305.53128559,62526827.00666785
Vantage V12,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45423,4000.0,16.0,0.0,0.0,21.7772,0.0,0.0,0.0,13.648,16.7694,30.2959,0.0,60000.0,6293320.248697667,7861520.248697667,87432791.76734333,95294312.016041
DBS,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45424,4500.0,17.0,0.0,0.0,22.0071,0.0,0.0,0.0,14.3728,17.7156,30.6398,0.0,60000.0,7079985.279784877,8648185.279784877,85301990.96311504,93950176.24289991
DB11 V12,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45425,4500.0,17.0,0.0,0.0,22.0071,0.0,0.0,0.0,14.3728,17.7156,30.6398,0.0,60000.0,7079985.279784877,8648185.279784877,85301990.96311504,93950176.24289991
S3,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45428,3875.0,26.0,0.0,0.0,32.2208,0.0,0.0,0.0,23.0354,29.1,44.1,0.0,60000.0,6096653.990925865,7664853.990925865,56402575.250014514,64067429.24094038
Giulia,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45430,4000.0,27.0,0.0,0.0,32.63,0.0,0.0,0.0,23.5969,30.2997,47.1487,0.0,60000.0,6293320.248697667,7861520.248697667,55459274.52393401,63320794.772631675
Giulia,Alfa Romeo,2023,ICE,6.0,2.9,Automatic 8-spd,45431,4000.0,20.0,0.0,0.0,25.4128,0.0,0.0,0.0,17.45,21.8,35.8,0.0,60000.0,6293320.248697667,7861520.248697667,72571387.21200721,80432907.46070488
Giulia AWD,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45432,4000.0,26.0,0.0,0.0,30.6012,0.0,0.0,0.0,22.5005,28.7492,43.9,0.0,60000.0,6293320.248697667,7861520.248697667,58770097.88400566,66631618.13270333
XF P250,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45433,4250.0,28.0,0.0,0.0,33.1568,0.0,0.0,0.0,24.9259,32.2,48.0,0.0,60000.0,6686652.7642412735,8254852.7642412735,53787581.831938766,62042434.59618004
XF P250 AWD,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45434,4250.0,26.0,0.0,0.0,32.0405,0.0,0.0,0.0,23.1035,29.6,46.2,0.0,60000.0,6686652.7642412735,8254852.7642412735,56540507.55116645,64795360.31540772
XF P300 AWD,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45435,4250.0,25.0,0.0,0.0,30.4753,0.0,0.0,0.0,22.1096,28.2,43.7,0.0,60000.0,6686652.7642412735,8254852.7642412735,59309487.36528589,67564340.12952717
Impreza 4-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45436,3473.684210526316,26.0,0.0,0.0,31.2288,0.0,0.0,0.0,23.2447,29.8,44.9,0.0,60000.0,5465251.79492166,7033451.79492166,57323873.91714887,64357325.71207053
Impreza 4-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45437,3473.684210526316,32.0,0.0,0.0,36.3927,0.0,0.0,0.0,28.4813,37.3987,53.3,0.0,60000.0,5465251.79492166,7033451.79492166,48250867.9643415,55284319.75926316
Impreza Sport 4-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45438,3473.684210526316,30.0,0.0,0.0,35.7879,0.0,0.0,0.0,27.1281,35.4,52.3,0.0,60000.0,5465251.79492166,7033451.79492166,49675472.60213621,56708924.39705787
Sonata,Hyundai,2023,ICE,4.0,2.5,Automatic (AM-S8),45439,3678.819444444445,27.0,0.0,0.0,32.5707,0.0,0.0,0.0,23.3028,28.9354,44.6338,0.0,60000.0,5787997.225256233,7356197.225256233,55781405.34141638,63137602.566672616
Impreza 5-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45440,3473.684210526316,26.0,0.0,0.0,30.9153,0.0,0.0,0.0,23.5971,30.3,44.4,0.0,60000.0,5465251.79492166,7033451.79492166,57352606.29980838,64386058.09473004
Impreza 5-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45441,3473.684210526316,31.0,0.0,0.0,35.8843,0.0,0.0,0.0,28.0225,36.7183,52.4592,0.0,60000.0,5465251.79492166,7033451.79492166,48975947.622137666,56009399.417059325
Impreza Sport 5-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45442,3473.684210526316,25.0,0.0,0.0,29.9708,0.0,0.0,0.0,22.3944,28.6,42.9,0.0,60000.0,5465251.79492166,7033451.79492166,59642895.5982022,66676347.39312386
Impreza Sport 5-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45443,3473.684210526316,30.0,0.0,0.0,35.0586,0.0,0.0,0.0,27.1962,35.5,51.1,0.0,60000.0,5465251.79492166,7033451.79492166,50259323.132993996,57292774.927915655
MDX FWD,Acura,2023,ICE,6.0,3.5,Automatic (S10),45444,4750.0,22.0,0.0,0.0,26.3231,0.0,0.0,0.0,19.0,25.0,37.2,0.0,60000.0,7473317.795328483,9041517.795328483,68795392.33284427,77836910.12817276
Stelvio,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45445,4333.333333333334,25.0,0.0,0.0,29.1922,0.0,0.0,0.0,22.0,29.2431,41.671,0.0,60000.0,6817763.602755808,8385963.602755808,61034739.56212331,69420703.16487913
MDX AWD,Acura,2023,ICE,6.0,3.5,Automatic (S10),45446,4750.0,21.0,0.0,0.0,25.0,0.0,0.0,0.0,18.6331,23.399999999999995,36.0,0.0,60000.0,7473317.795328483,9041517.795328483,71570251.40620726,80611769.20153575
Stelvio AWD,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45447,4333.333333333334,24.0,0.0,0.0,28.4782,0.0,0.0,0.0,21.8596,27.8499,40.5499,0.0,60000.0,6817763.602755808,8385963.602755808,62125904.36877421,70511867.97153002
Stelvio AWD,Alfa Romeo,2023,ICE,6.0,2.9,Automatic 8-spd,45448,4333.333333333334,19.0,0.0,0.0,22.7798,0.0,0.0,0.0,16.9285,21.1,31.8,0.0,60000.0,6817763.602755808,8385963.602755808,78633166.74703543,87019130.34979124
QX55 AWD,Infiniti,2023,ICE,4.0,2.0,Automatic (AV-S8),45449,4375.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,29.3302,40.6771,0.0,60000.0,6883319.022013075,8451519.022013074,62616600.79051382,71068119.8125269
F-Pace,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45450,4875.0,24.0,0.0,0.0,26.6469,0.0,0.0,0.0,21.8954,27.883,37.7232,0.0,60000.0,7669984.053100284,9238184.053100284,64638205.37380057,73876389.42690085
F-Pace P340 MHEV,Jaguar,2023,HEV,6.0,3.0,Automatic (S8),45451,4875.0,22.0,0.0,0.0,26.5822,0.0,0.0,0.0,19.6583,24.7501,37.5523,0.0,60000.0,6841918.159138528,8410118.159138527,67509160.42033635,75919278.57947488
F-Pace P400 MHEV,Jaguar,2023,HEV,6.0,3.0,Automatic (S8),45452,4875.0,22.0,0.0,0.0,25.7386,0.0,0.0,0.0,19.3663,24.4,36.6,0.0,60000.0,6841918.159138528,8410118.159138527,69266560.17111577,77676678.3302543
MDX AWD Type-S,Acura,2023,ICE,6.0,3.0,Automatic (S10),45456,4750.0,19.0,0.0,0.0,21.4883,0.0,0.0,0.0,17.0,22.7,32.1,0.0,60000.0,7473317.795328483,9041517.795328483,81372201.80326594,90413719.59859443
TT Roadster,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45463,3625.0,25.0,0.0,0.0,30.0171,0.0,0.0,0.0,22.6019,28.3551,41.888,0.0,60000.0,5703321.475382263,7271521.475382263,59377232.45575567,66648753.931137934
Portofino M,Ferrari,2023,ICE,8.0,3.9,Automatic (AM8),45469,4250.0,19.0,0.0,0.0,22.8747,0.0,0.0,0.0,16.3243,20.293,31.9429,0.0,60000.0,6686652.7642412735,8254852.7642412735,79500095.84975575,87754948.61399703
S5 Coupe,Audi,2023,ICE,6.0,3.0,Automatic (S8),45470,4333.333333333333,24.0,0.0,0.0,29.5692,0.0,0.0,0.0,21.2588,26.6609,39.7856,0.0,60000.0,6817763.602755807,8385963.602755807,61332924.498790525,69718888.10154633
S5 Cabriolet,Audi,2023,ICE,6.0,3.0,Automatic (S8),45471,4333.333333333333,23.0,0.0,0.0,27.9925,0.0,0.0,0.0,20.7723,25.600000000000005,37.7,0.0,60000.0,6817763.602755807,8385963.602755807,64025128.30689059,72411091.90964639
RS 5 Coupe,Audi,2023,ICE,6.0,2.9,Automatic (S8),45472,5750.0,21.0,0.0,0.0,25.5051,0.0,0.0,0.0,17.7901,22.0469,35.5447,0.0,60000.0,9046647.8575029,10614847.8575029,71900096.89856513,82514944.75606802
TT Coupe,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45473,3625.0,25.0,0.0,0.0,30.0171,0.0,0.0,0.0,22.6019,28.3551,41.888,0.0,60000.0,5703321.475382263,7271521.475382263,59377232.45575567,66648753.931137934
Roma,Ferrari,2023,ICE,8.0,3.9,Automatic (AM8),45489,4000.0,19.0,0.0,0.0,22.197,0.0,0.0,0.0,16.5726,20.6242,30.9245,0.0,60000.0,6293320.248697667,7861520.248697667,80555191.1367933,88416711.38549097
S4,Audi,2023,ICE,6.0,3.0,Automatic (S8),45490,4250.0,24.0,0.0,0.0,29.5692,0.0,0.0,0.0,21.2588,26.6609,39.7856,0.0,60000.0,6686652.7642412735,8254852.7642412735,61332924.498790525,69587777.2630318
CT4,Cadillac,2023,ICE,4.0,2.0,Automatic (S8),45499,4004.6875,27.0,0.0,0.0,33.7669,0.0,0.0,0.0,22.962,29.4,48.99,0.0,60000.0,6300695.233364112,7868895.233364112,54807705.11503407,62676600.348398186
CT4 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S8),45500,4004.6875,26.0,0.0,0.0,30.9153,0.0,0.0,0.0,22.3233,28.5,44.4,0.0,60000.0,6300695.233364112,7868895.233364112,58568000.91685798,66436896.15022209
CT4,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45501,4004.6875,25.0,0.0,0.0,30.7898,0.0,0.0,0.0,21.3942,27.2,44.2,0.0,60000.0,6300695.233364112,7868895.233364112,59642087.239635296,67510982.47299941
CT4 V,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45502,4004.6875,23.0,0.0,0.0,28.7015,0.0,0.0,0.0,19.7311,24.9,40.9,0.0,60000.0,6300695.233364112,7868895.233364112,64229132.829674006,72098028.06303811
CT4 AWD,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45503,4004.6875,24.0,0.0,0.0,28.9563,0.0,0.0,0.0,20.8185,26.4,41.3,0.0,60000.0,6300695.233364112,7868895.233364112,62630736.02777543,70499631.26113954
CT4 V AWD,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45504,4004.6875,23.0,0.0,0.0,28.0,0.0,0.0,0.0,20.0,26.0,40.6,0.0,60000.0,6300695.233364112,7868895.233364112,64926229.50819671,72795124.74156082
CT4 V,Cadillac,2023,ICE,6.0,3.6,Automatic (S10),45505,4004.6875,19.0,0.0,0.0,24.1681,0.0,0.0,0.0,15.6519,19.4,33.9,0.0,60000.0,6300695.233364112,7868895.233364112,77901986.69244055,85770881.92580466
CT4 V,Cadillac,2023,ICE,6.0,3.6,Manual 6-spd,45506,4004.6875,18.0,0.0,0.0,23.0223,0.0,0.0,0.0,15.4819,18.4,30.7,0.0,60000.0,6300695.233364112,7868895.233364112,80706623.62856817,88575518.86193228
Mirage,Mitsubishi,2023,ICE,3.0,1.2,Manual 5-spd,45507,2458.333333333333,36.0,0.0,0.0,40.8484,0.0,0.0,0.0,33.419,44.9092,60.8039,0.0,60000.0,3867769.7361787744,5435969.736178774,42239509.91290001,47675479.64907879
Mirage,Mitsubishi,2023,ICE,3.0,1.2,Automatic (variable gear ratios),45508,2458.333333333333,39.0,0.0,0.0,43.3764,0.0,0.0,0.0,36.2431,49.3651,65.1714,0.0,60000.0,3867769.7361787744,5435969.736178774,39440911.01981593,44876880.75599471
